position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
1,1,2007,Australia,Alumina,"Gladstone, Queensland","Gladstone alumina refinery",Plant,"24. 09'  S","151. 13'  E",-23.85,151.22,F,,"Queensland Alumina Ltd., operator","Rio Tinto Alcan, 80%","Rusal, 20%",Active,3850,"thousand metric tons per year",,847
2,2,2007,Australia,Alumina,"Nhulunbuy, Gove, Northern Territory","Gove alumina refinery",Plant,"13. 48'  S","136. 44'  E",-12.2,136.73,F,,"Alcan Gove Pty. Ltd.","Rio Tinto plc, 100%",,Active,3800,"thousand metric tons per year",,847
3,3,2007,Australia,Alumina,"20 kilometers northwest of Collie, Western Australia","Worsley alumina refinery",Plant,"34. 46'  S","116. 04'  E",-33.24,116.07,F,,"Worsley Alumina Pty. Ltd., manager","BHP Billiton Ltd., 86%","Japan Alumina Associates (Australia) Pty. Ltd., 10%",Active,3700,"thousand metric tons per year",,847
4,4,2007,Australia,Alumina,"Pinjarra, Western Australia","Pinjarra alumina refinery",Plant,"33. 22'  S","115. 55'  E",-32.64,115.92,F,,"Alcoa World Alumina Australia","Alcoa World Alumina Australia, 100%",,Active,3400,"thousand metric tons per year",,847
5,5,2007,Australia,Alumina,"Waroona, Western Australia","Wagerup alumina refinery",Plant,"33. 05'  S","115. 55'  E",-32.92,115.91,F,,"Alcoa World Alumina Australia","Alcoa World Alumina Australia, 60%","Western Mining Corp., 40%",Active,2600,"thousand metric tons per year",,847
6,6,2007,Australia,Alumina,"Kwinana, Western Australia","Kwinana alumina refinery",Plant,"33. 45'  S","115. 46'  E",-32.25,115.77,F,,"Alcoa World Alumina Australia","Alcoa World Alumina Australia, 100%",,Active,2100,"thousand metric tons per year",,847
7,7,2007,Australia,Aluminum,"Gladstone, Queensland","Yarwun alumina refinery",Plant,"24. 08'  S","151. 17'  E",-23.87,151.29,F,,"Rio Tinto Alcan Inc.","Rio Tinto Alcan Inc., 100%",,Active,1400,"thousand metric tons per year",,847
8,8,2007,Australia,Aluminum,"Boyne Island, Queensland","Boyne Island aluminum smelter",Plant,"24. 04'  S","151. 20'  E",-23.93,151.34,F,,"Boyne Smelters Ltd., operator","Rio Tinto Alcan Inc., 64%;","Sumitomo Light Metal Industries Ltd., 17%; Ryowa Development Pty. Ltd., 12%, Kobe Steel Ltd., 5%; Sumitomo Chemical Co. Ltd., 2%",Active,550,"thousand metric tons per year",,847
9,9,2007,Australia,Aluminum,"Tomago, New South Wales","Tomago aluminum smelter",Plant,"33. 11'  S","151. 43'  E",-32.82,151.72,F,,"Tomago Aluminum Co. Pty. Ltd., operator","Rio Tinto Alcan Inc., 51.5%","Gove Aluminum Finance Ltd., 36.05%; Hydro Aluminum, 12.04%",Active,525,"thousand metric tons per year",,847
10,10,2007,Australia,Aluminum,"Portland, Victoria","Portland aluminum smelter",Plant,"39. 37'  S","141. 38'  E",-38.38,141.63,F,,"Alcoa of Australia, manager","Alcoa of Australia, 45%","China International Trust Investment Co. (a Chinese Government agency), 22.5%; Marubeni Australia Pty. Ltd., 22.5%",Active,345,"thousand metric tons per year",,847
11,11,2007,Australia,Aluminum,"Point Henry, Victoria","Point Henry aluminum smelter",Plant,"39. 52'  S","144. 25'  E",-38.14,144.42,F,,"Alcoa of Australia","Alcoa of Australia, 100%",,Active,185,"thousand metric tons per year",,847
12,12,2007,Australia,Aluminum,"Kurri Kurri, near Newcastle, New South Wales","Kurri Kurri aluminum smelter",Plant,"33. 13'  S","151. 29'  E",-32.79,151.48,F,,"Hydro Aluminum Kurri Kurri Pty. Ltd.","Hydro Aluminum Kurri Kurri Pty. Ltd., 100%",,Active,165,"thousand metric tons per year",,847
13,13,2007,Australia,Aluminum,"Bell Bay, Tasmania","Bell Bay aluminum smelter",Plant,"42. 52'  S","146. 52'  E",-41.13,146.87,F,,"Rio Tinto Alcan Inc.","Rio Tinto Alcan Inc., 100%",,Active,160,"thousand metric tons per year",,847
14,14,2007,Australia,Antimony,"25 kilometers east of Armidale, New South Wales","Hillgrove mine",Mine,"31. 26'  S","151. 54'  E",-30.57,151.9,F,U,"Straits Resources Ltd.","Straits Resources Ltd., 100%",,Active,5,"thousand metric tons per year",,847
15,15,2007,Australia,Antimony,"50 kilometers east and southeast of Bendigo, Victoria","Augusta underground antimony-gold mine",Mine,"38. 43'  S","145. 00'  E",-37.28,145,F,U,"AGD Mining, operator","Cambrian Mining Plc, 100%",,Active,5,"thousand metric tons per year",,847
16,16,2007,Australia,Bauxite,"75 kilometers south of Perth, Western Australia","Huntly open pit bauxite mine",Mine,"33. 25'  S","116. 05'  E",-32.59,116.09,F,S,"Alcoa World Alumina Australia","Alcoa World Alumina Australia, 100%",,Active,20000,"thousand metric tons per year",,847
17,17,2007,Australia,Bauxite,"Weipa, Queensland","Weipa-Andoom open pit bauxite mine",Mine,"13. 20'  S","141. 52'  E",-12.66,141.87,F,S,"Comalco Ltd., operator","Rio Tinto plc, 100%",,Active,17000,"thousand metric tons per year",,847
18,18,2007,Australia,Bauxite,"20 kilometers northwest of Collie, Western Australia","Worsley open pit bauxite mine",Mine,"34. 46'  S","116. 04'  E",-33.24,116.07,F,S,"Worsley Alumina Pty. Ltd., manager","BHP Billiton Ltd., 86%;","Japan Alumina Associates (Australia) Pty. Ltd., 10%; Sojitz Alumina Pty. Ltd., 4%",Active,13200,"thousand metric tons per year",,847
19,19,2007,Australia,Bauxite,"180 kilometers south of Perth, Western Australia","Willowdale open pit bauxite mine",Mine,"34. 25'  S","115. 40'  E",-33.58,115.67,F,S,"Comalco Ltd., operator","Rio Tinto plc, 100%",,Active,8600,"thousand metric tons per year",,847
20,20,2007,Australia,Bauxite,"Gove Peninsula, Northern Territory","Gove open pit bauxite mine",Mine,"13. 48'  S","136. 44'  E",-12.2,136.73,F,S,"Rio Tinto Alcan Inc.","Rio Tinto Alcan Inc., 100%",,Active,8000,"thousand metric tons per year",,847
21,21,2007,Australia,Bentonite,"350 kilometers west of Brisbane, Queensland","Miles open pit bentonite mine",Mine,"27. 35'  S","150. 03'  E",-26.42,150.05,F,S,"Unimin Australia Ltd.","Unimin Australia Ltd., 100%",,Active,100,"thousand metric tons per year",,847
22,22,2007,Australia,Bentonite,"10 kilometers southwest of Yarraman, Queensland","Cedars open pit bentonite mine",Mine,"27. 11'  S","151. 55'  E",-26.81,151.92,F,U,"PCP Douglas Pty. Ltd.","PCP Douglas Pty. Ltd., 100%",,Active,20,"thousand metric tons per year",,847
23,23,2007,Australia,Bentonite,"20 kilometers north of Scone, New South Wales","Cressfield open pit bentonite mine",Mine,"32. 04'  S","150. 49'  E",-31.94,150.82,F,S,"Unimin Australia Ltd.","Unimin Australia Ltd., 100%",,Active,12,"thousand metric tons per year",,847
24,24,2007,Australia,Bentonite,"95 kilometers northeast of Mildura, New South Wales","Arumpo open pit bentonite mine",Mine,"34. 08'  S","142. 54'  E",-33.87,142.9,F,S,"Arumpo Bentonite Pty. Ltd.","Arumpo Bentonite Pty. Ltd., 100%",,Active,10,"thousand metric tons per year",,847
25,25,2007,Australia,Cement,"Gladstone, Queensland","Plant at Gladstone",Plant,"24. 10'  S","151. 09'  E",-23.83,151.15,F,,"Cement Australia Ltd.","Cement Australia Ltd., 100%",,Active,1600,"thousand metric tons per year",,847
26,26,2007,Australia,Cement,"Berrima, New South Wales","Plant at Berrima",Plant,"35. 29'  S","150. 20'  E",-34.51,150.34,F,,"Blue Circle Southern Cement Ltd.","Blue Circle Southern Cement Ltd., 100%",,Active,1200,"thousand metric tons per year",,847
27,27,2007,Australia,Cement,"Birkenhead, South Australia","Plant at Birkenhead",Plant,"35. 10'  S","138. 31'  E",-34.83,138.51,F,,"Adelaide Brighton Cement Pty. Ltd.","Adelaide Brighton Cement Pty. Ltd., 100%",,Active,1200,"thousand metric tons per year",,847
28,28,2007,Australia,Cement,"Brisbane, Queensland","Plant at Brisbane",Plant,"28. 35'  S","153. 08'  E",-27.41,153.14,F,,"Cement Australia Ltd.","Cement Australia Ltd., 100%",,Active,1200,"thousand metric tons per year",,847
29,29,2007,Australia,Cement,"Railton, Tasmania","Plant at Railton",Plant,"42. 40'  S","146. 25'  E",-41.33,146.42,F,,"Cement Australia Ltd.","Cement Australia Ltd., 100%",,Active,1000,"thousand metric tons per year",,847
30,30,2007,Australia,Cement,"Geelong, Victoria","Plant at Geelong",Plant,"39. 52'  S","144. 19'  E",-38.14,144.32,F,,"Adelaide Brighton Cement Pty. Ltd.","Adelaide Brighton Cement Pty. Ltd., 100%",,Active,800,"thousand metric tons per year",,847
31,31,2007,Australia,Cement,"Maldon, New South Wales","Plant at Maldon",Plant,"35. 48'  S","150. 38'  E",-34.2,150.63,F,,"Blue Circle Southern Cement Ltd.","Blue Circle Southern Cement Ltd., 100%",,Active,700,"thousand metric tons per year",,847
32,32,2007,Australia,Cement,"Munster, 30 kilometers south of Perth, Western Australia","Plant at Munster",Plant,"33. 51'  S","115. 48'  E",-32.15,115.8,F,,"Cockburn Cement Ltd.","Cockburn Cement Ltd., 100%",,Active,700,"thousand metric tons per year",,847
33,33,2007,Australia,Cement,"Munster, 30 kilometers south of Perth, Western Australia","Plant at Munster",Plant,"33. 51'  S","115. 48'  E",-32.15,115.8,F,,"Adelaide Brighton Cement Pty. Ltd.","Adelaide Brighton Cement Pty. Ltd., 100%",,Active,590,"thousand metric tons per year",,847
34,34,2007,Australia,Cement,"Kandos, New South Wales","Plant at Kandos",Plant,"33. 08'  S","149. 59'  E",-32.87,149.98,F,,"Cement Australia Ltd.","Cement Australia Ltd., 100%",,Active,450,"thousand metric tons per year",,847
35,35,2007,Australia,Cement,"Angaston, South Australia","Plant at Angaston",Plant,"35. 30'  S","139. 02'  E",-34.5,139.03,F,,"Adelaide Brighton Cement Pty. Ltd.","Adelaide Brighton Cement Pty. Ltd., 100%",,Active,250,"thousand metric tons per year",,847
36,36,2007,Australia,Cement,"Waurn Ponds, Victoria","Plant at Waurn Ponds",Plant,"39. 47'  S","144. 16'  E",-38.22,144.27,F,,"Blue Circle Southern Cement Ltd.","Blue Circle Southern Cement Ltd., 100%",,Active,250,"thousand metric tons per year",,847
37,37,2007,Australia,Chromite,"55 kilometers southeast of Newman, Western Australia","Coobina open pit chromite mine",Mine,"24. 31'  S","120. 16'  E",-23.49,120.27,F,S,"Consolidated Minerals Ltd.","Consolidated Minerals Ltd., 100%",,Active,250,"thousand metric tons per year",,847
38,38,2007,Australia,"Coal: black","140 kilometers southwest of Mackay, Queensland","Goonyella-Riverside open pit coal mines",Mine,"22. 16'  S","147. 59'  E",-21.74,147.98,F,S,"BHP Billiton Ltd.","BHP Billiton Ltd., 50%","Mitsubishi Development Pty. Ltd., 50%",Active,16000,"thousand metric tons per year",,847
39,39,2007,Australia,"Coal: black","10 kilometers west to 25 kilometers north of Singleton, New South Wales","Hunter Valley Operations (Carrington Chestnut, Howick, Hunt Valley No. 1, Lemington, Riverview open pit coal mine)",Mine,"33. 37'  S","151. 01'  E",-32.38,151.02,F,S,"Coal and Allied Industries Ltd., manager","Coal and Allied Industries Ltd., 100%",,Active,15000,"thousand metric tons per year",,847
40,40,2007,Australia,"Coal: black","135 kilometers west of Mackay, Queensland","Newlands-Collinsville-Abbot Point open pit/longwall coal mine",Mine,"22. 46'  S","147. 55'  E",-21.23,147.91,F,S,"Xstrata plc.","Xstrata plc, 55%","Itochu Corp., 35%; Sumitomo Corp., 10%",Active,15000,"thousand metric tons per year",,847
41,41,2007,Australia,"Coal: black","5 kilometers southwest of Muswellbrook, New South Wales","Mount Arthur open pit coal mine",Mine,"33. 40'  S","150. 52'  E",-32.33,150.86,F,S,"BHP Billiton Ltd.","BHP Billiton Ltd., 100%",,Active,15000,"thousand metric tons per year",,847
42,42,2007,Australia,"Coal: black","175 kilometers west of Rockhamton, Queensland","Blackwater open pit coal mine (includes South Blackwater)",Mine,"24. 14'  S","148. 50'  E",-23.77,148.84,F,S,"BHP Billiton Mitsubishi Alliance, manager","(BHP Billiton Ltd., 50%, and Mitsubishi Development Pty. Ltd., 50%)",,Active,14000,"thousand metric tons per year",,847
43,43,2007,Australia,"Coal: black","110 kilometers northwest of Emerald, 25 kilometers northwest of Clermont, Queensland","Blair Athol open pit coal mine",Mine,"23. 18'  S","147. 33'  E",-22.7,147.55,F,S,"Rio Tinto Ltd.,  manager","Rio Tinto Ltd., 57.2%","J-Power(Australia) Pty. Ltd., 8%; private, 34.8%",Active,13000,"thousand metric tons per year",,847
44,44,2007,Australia,"Coal: black","14 kilometers southwest of Singleton, New South Wales","Mount Thorley open pit coal mine",Mine,"33. 20'  S","151. 05'  E",-32.66,151.08,F,S,"Coal and Allied Industries Ltd.","Coal and Allied Industries Ltd., 80%","POSCO Australia Pty. Ltd., 20%",Active,12000,"thousand metric tons per year",,847
45,45,2007,Australia,"Coal: black","85 kilometers southwest of the Port of Gladstone","Callide coal mine",Mine,"25. 47'  S","150. 30'  E",-24.21,150.5,F,,"Anglo Coal Pty. Ltd.","Anglo Coal Pty. Ltd., 100%",,Active,10700,"thousand metric tons per year",,847
46,46,2007,Australia,"Coal: black","16 kilometers southwest of Singleton, New South Wales","Bulga open pit/longwall coal mine",Mine,"33. 23'  S","151. 04'  E",-32.61,151.06,F,,"Oakbridge Pty. Ltd., manager","Xstrata plc, 68.25%","Nippon Steel Australia Pty. Ltd., 12.5%; Toyota Tsusho Mining (Australia) Pty. Ltd., 4.38%; private 13.3%",Active,10000,"thousand metric tons per year",,847
47,47,2007,Australia,"Coal: black","200 kilometers west-northwest of Rockhampton, Queensland","Oaky Creek longwall and Alliance open pit coal mine",Mine,"24. 56'  S","148. 31'  E",-23.06,148.51,F,U,"Xstrata plc","Xstrata plc, 55%","Sumitomo Coal Australia Pty. Ltd., 25%; Itocho Corp., 20%",Active,9500,"thousand metric tons per year",,847
48,48,2007,Australia,"Coal: black","145 kilometers north of Emerald, Queensland","Peak Downs open pit coal mine",Mine,"24. 50'  S","148. 10'  E",-23.17,148.16,F,S,,"BHP Billiton Ltd., 50%, and Mitsubishi Development Pty. Ltd., 50%",,Active,9000,"thousand metric tons per year",,847
49,49,2007,Australia,"Coal: black","35 kilometers east-northeast of Emerald, Queensland","Ensham-Yongala open pit coal mine",Mine,"24. 32'  S","148. 29'  E",-23.46,148.49,F,S,"Idemitsu Kosan Co. Ltd.","Idemitsu Kosan Co. Ltd., 85%;","J-Power (Australia) Pty. Ltd., 10%; LG International (Australia) Pty. Ltd., 5%",Active,9000,"thousand metric tons per year",,847
50,50,2007,Australia,"Coal: black","70 kilometers east of Emerald, Queensland","Curragh open pit coal mine",Mine,"24. 47'  S","148. 19'  E",-23.21,148.32,F,S,"Wesfarmers Ltd.","Wesfarmers Ltd., 100%",,Active,9000,"thousand metric tons per year",,847
51,51,2007,Australia,"Coal: black","40 kilometers northwest of Wollongong, New South Wales","Appin longwall coal mine",Mine,"35. 47'  S","150. 47'  E",-34.21,150.79,F,U,"Illawarra Coal Holdings Pty. Ltd., operator","BHP Billiton Ltd., 100%",,Active,8800,"thousand metric tons per year",,847
52,52,2007,Australia,"Coal: black","100 kilometers west of Mackay, Queensland","Hail Creek open pit coal mine",Mine,"22. 31'  S","148. 23'  E",-21.49,148.38,F,S,"Rio Tinto Ltd.","Rio Tinto Ltd., 82%","Nippon steel Australia Pty. Ltd., 8%; Marubeni Coal Pty. Ltd., 6.66%",Active,8000,"thousand metric tons per year",,847
53,53,2007,Australia,"Coal: black","90 kilometers south southeast of Emerald, Queensland","Rollestone open pit coal mine",Mine,"25. 33'  S","148. 25'  E",-24.45,148.41,F,S,"Xstrata plc.","Xstrata plc., 75%","Itochu Corp., 12.5%; Sumitomo Corp., 12.5%",Active,8000,"thousand metric tons per year",,847
54,54,2007,Australia,"Coal: black","20 kilometers northwest of Singleton, near Ravensworth, New South Wales","Mount Owen open pit coal mine",Mine,"33. 33'  S","150. 58'  E",-32.45,150.97,F,S,"Xstrata plc.","Xstrata plc, 100%",,Active,7700,"thousand metric tons per year",,847
55,55,2007,Australia,"Coal: black","230 kilometers west of Bundaberg, Queensland","Dawson Coal complex (includes Moura, Theodore and Taroom)",Mine,"25. 17'  S","150. 04'  E",-24.71,150.06,F,,"Anglo American Plc","Anglo American Plc, 51%","Mitsui &Co. (Australia) Ltd., 49%",Active,7000,"thousand metric tons per year",,847
56,56,2007,Australia,"Coal: black","85 kilometers north of Toowoomba, Queensland","Tarong-Meandu open pit coal mine",Mine,"27. 11'  S","151. 55'  E",-26.81,151.92,F,S,"Rio Tinto Ltd.","Rio Tinto Ltd., 100%",,Active,7000,"thousand metric tons per year",,847
57,57,2007,Australia,"Coal: black","5 kilometers west of Muswellbrook, New South Wales","Bengalla open pit coal mine",Mine,"33. 44'  S","150. 50'  E",-32.27,150.84,F,S,"Coal and Allied Industries Ltd., manager","Coal and Allied Industries Ltd., 40%","Wesfarmers Bengalla Ltd., 40%; MCDA Bengalla Investment Pty. Ltd., 10%; Taipower Bengalla Pty. Ltd., 10%",Active,6600,"thousand metric tons per year",,847
58,58,2007,Australia,"Coal: black","125 kilometers north of Emerald, Queensland","Saraji open pit coal mine",Mine,"23. 37'  S","148. 17'  E",-22.38,148.28,F,S,,"BHP Billiton Ltd., 50%, and Mitsubishi Development Pty. Ltd., 50%",,Active,6500,"thousand metric tons per year",,847
59,59,2007,Australia,"Coal: black","15 kilometers west of Singleton, New South Wales","Wambo open pit/ underground coal mine",Mine,"33. 26'  S","151. 00'  E",-32.57,151,F,"S,U","Peabody Energy Corp.","Peabody Energy Corp., 100%",,Active,6000,"thousand metric tons per year",,847
60,60,2007,Australia,"Coal: black","205 kilometers west-northwest of Rockhampton, Queensland","German Creek and German Creek East open pit/underground coal mine",Mine,"23. 04'  S","148. 34'  E",-22.93,148.56,F,,"Anglo American Plc","Anglo American Plc, 70%","Mitsui & Co. (Australia). Ltd., 30%",Active,6000,"thousand metric tons per year",,847
61,61,2007,Australia,"Coal: black","150 kilometers southwest of Mackay, Queensland","Burton open pit coal mine",Mine,"22. 38'  S","147. 55'  E",-21.36,147.92,F,S,"Peabody Energy Corp.","Peabody Energy Corp., 95%","Thiess Pty. Ltd., 5%",Active,5800,"thousand metric tons per year",,847
62,62,2007,Australia,"Coal: black","150 kilometers southwest of Mackay, Queensland","Moranbah North longwall coal mine",Mine,"22. 07'  S","147. 58'  E",-21.88,147.96,F,U,"Anglo Coal Holdings Australia Ltd.","Anglo American Plc, 88%","Nippon Steel Australia Pty. Ltd., 5%",Active,5800,"thousand metric tons per year",,847
63,63,2007,Australia,"Coal: black","40 kilometers northeast of Emerald, Queensland","Kestrel underground coal mine",Mine,"24. 46'  S","148. 22'  E",-23.23,148.37,F,U,,"Rio Tinto Ltd., 80%","Mitsui & Co. (Australia) Ltd., 20%",Active,5500,"thousand metric tons per year",,847
